BookId,Title,Author,Illustrator,BookCoverImageUrl,LargeBookCoverImageUrl
103,Basketball Blunder,Elliott Hedman,Silvia Amelio,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book103/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book103/lcover.png
104,The Bunny Battle,Elliott Hedman,Silvia Amelio,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book104/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book104/lcover.png
105,Skeleton Faces,Elliott Hedman,Silvia Amelio,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book105/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book105/lcover.png
106,The Cow Man,Elliott Hedman,Silvia Amelio,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book106/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book106/lcover.png
107,The Robbery,Elliott Hedman,Silvia Amelio,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book107/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book107/lcover.png
108,Where is Nacho 1,Elliott Hedman,Silvia Amelio,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book108/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book108/lcover.png
109,Where is Nacho 2,Elliott Hedman,Silvia Amelio,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book109/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book109/lcover.png
110,Where is Nacho 3,Elliott Hedman,Silvia Amelio,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book110/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book110/lcover.png
111,Baby Jumping,Elliott Hedman,Silvia Amelio,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book111/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book111/lcover.png
112,The Bullet Ant Dance,Elliott Hedman,Silvia Amelio,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book112/cover.png,https://storage.googleapis.com/wonder-stories-web.appspot.com/books/images/book112/lcover.png
